id,title,category,section,file,fullPackPages,pageCount,tags,commonlyUsed,version,lastUpdated,status
maxillofacial-injuries,Maxillofacial Injuries,Airway / Breathing,core-protocols,docs/airway-breathing/maxillofacial-injuries.pdf,16;17,2,"maxillofacial, face, facial injury, airway, bleeding, haemorrhage",False,v0.5,2026-06-12,draft - requires clinical verification
traumatic-chest-injuries,Traumatic Chest Injuries,Airway / Breathing,core-protocols,docs/airway-breathing/traumatic-chest-injuries.pdf,18;19,2,"chest injury, pneumothorax, tension pneumothorax, needle decompression, thoracostomy, chest seal",True,v0.5,2026-06-12,draft - requires clinical verification
hypoxia,Hypoxia,Medical Emergency,medical-emergency-inserts,docs/medical-emergencies/hypoxia.pdf,63,1,"hypoxia, oxygen, SpO2, respiratory, shortness of breath",True,v0.5,2026-06-12,draft - requires clinical verification
asthma,Asthma,Medical Emergency,medical-emergency-inserts,docs/medical-emergencies/asthma.pdf,64,1,"asthma, wheeze, shortness of breath, salbutamol, PEFR, hypoxia",True,v0.5,2026-06-12,draft - requires clinical verification
telemedicine-voice-procedure,Telemedicine Voice Procedure,Handover / Reachback,core-protocols,docs/handover-reachback/telemedicine-voice-procedure.pdf,31,1,"telemedicine, reachback, remote support, voice procedure, handover, ATMIST",True,v0.5,2026-06-12,draft - requires clinical verification
pain-management-protocol,Pain Management Protocol,Procedures / Drugs,core-protocols,docs/procedures-drugs/pain-management-protocol.pdf,32,1,"pain, pain ladder, analgesia, paracetamol, NSAID, opioid",True,v0.5,2026-06-12,draft - requires clinical verification
advanced-analgesia-protocol,Advanced Analgesia Protocol,Procedures / Drugs,core-protocols,docs/procedures-drugs/advanced-analgesia-protocol.pdf,33;34;35,3,"advanced analgesia, fentanyl, ketamine, penthrox, morphine, sedation, pain",True,v0.5,2026-06-12,draft - requires clinical verification
procedural-sedation,Procedural Sedation,Procedures / Drugs,core-protocols,docs/procedures-drugs/procedural-sedation.pdf,36,1,"procedural sedation, sedation, ketamine, monitoring, airway",True,v0.5,2026-06-12,draft - requires clinical verification
tube-thoracostomy,Tube Thoracostomy,Procedures,core-protocols,docs/procedures/tube-thoracostomy.pdf,37,1,"thoracostomy, chest drain, pneumothorax, haemothorax, chest injury",True,v0.5,2026-06-12,draft - requires clinical verification
resuscitative-thoracotomy,Resuscitative Thoracotomy,Procedures,core-protocols,docs/procedures/resuscitative-thoracotomy.pdf,38,1,"resuscitative thoracotomy, thoracotomy, TCA, tamponade, aortic compression",False,v0.5,2026-06-12,draft - requires clinical verification
escharotomy,Escharotomy,Procedures,core-protocols,docs/procedures/escharotomy.pdf,39,1,"escharotomy, burns, compartment, circumferential burns",False,v0.5,2026-06-12,draft - requires clinical verification
adult-advanced-life-support,Adult Advanced Life Support,Medical Emergency,core-protocols,docs/medical-emergencies/adult-advanced-life-support.pdf,41,1,"ALS, adult life support, cardiac arrest, CPR, defibrillation",True,v0.5,2026-06-12,draft - requires clinical verification
adult-tachyarrhythmia,Adult Tachyarrhythmia,Medical Emergency,core-protocols,docs/medical-emergencies/adult-tachyarrhythmia.pdf,42,1,"tachyarrhythmia, tachycardia, SVT, VT, AF, ECG, cardiac",False,v0.5,2026-06-12,draft - requires clinical verification
adult-bradyarrhythmia,Adult Bradyarrhythmia,Medical Emergency,core-protocols,docs/medical-emergencies/adult-bradyarrhythmia.pdf,43,1,"bradyarrhythmia, bradycardia, ECG, cardiac",False,v0.5,2026-06-12,draft - requires clinical verification
adult-anaphylaxis-guidelines,Adult Anaphylaxis Guidelines,Medical Emergency,core-protocols,docs/medical-emergencies/adult-anaphylaxis-guidelines.pdf,44;45,2,"anaphylaxis, allergy, adrenaline, shock, airway",True,v0.5,2026-06-12,draft - requires clinical verification
adult-choking-guidelines,Adult Choking Guidelines,Medical Emergency,core-protocols,docs/medical-emergencies/adult-choking-guidelines.pdf,46,1,"choking, airway obstruction, foreign body, BLS",False,v0.5,2026-06-12,draft - requires clinical verification
paediatric-advanced-life-support,Paediatric Advanced Life Support,Medical Emergency,core-protocols,docs/medical-emergencies/paediatric-advanced-life-support.pdf,47,1,"paediatric, child, PALS, cardiac arrest",False,v0.5,2026-06-12,draft - requires clinical verification
newborn-life-support,Newborn Life Support,Medical Emergency,core-protocols,docs/medical-emergencies/newborn-life-support.pdf,48,1,"newborn, neonatal, life support, resuscitation",False,v0.5,2026-06-12,draft - requires clinical verification
paediatric-choking-guidelines,Paediatric Choking Guidelines,Medical Emergency,core-protocols,docs/medical-emergencies/paediatric-choking-guidelines.pdf,49,1,"paediatric, choking, foreign body, airway obstruction",False,v0.5,2026-06-12,draft - requires clinical verification
sepsis-prehospital-guidelines,Sepsis Prehospital Guidelines,Medical Emergency,core-protocols,docs/medical-emergencies/sepsis-prehospital-guidelines.pdf,50,1,"sepsis, infection, shock, NEWS, antibiotics, deterioration",True,v0.5,2026-06-12,draft - requires clinical verification
cardiovascular-emergencies,Cardiovascular Emergencies,Medical Emergency,core-protocols,docs/medical-emergencies/cardiovascular-emergencies.pdf,51;52,2,"cardiovascular, chest pain, MI, STEMI, ACS, cardiac",True,v0.5,2026-06-12,draft - requires clinical verification
heat-illness,Heat Illness,Environmental / FHP,core-protocols,docs/environmental-fhp/heat-illness.pdf,53;54,2,"heat illness, heat stroke, heat exhaustion, cooling, hyperthermia",True,v0.5,2026-06-12,draft - requires clinical verification
hypothermia-management,Hypothermia Management,Environmental / FHP,core-protocols,docs/environmental-fhp/hypothermia-management.pdf,55;56,2,"hypothermia, cold injury, rewarming, temperature, exposure",True,v0.5,2026-06-12,draft - requires clinical verification
envenomation,Envenomation,Environmental / FHP,core-protocols,docs/environmental-fhp/envenomation.pdf,57;58,2,"envenomation, snake, scorpion, bite, sting, venom",True,v0.5,2026-06-12,draft - requires clinical verification
poisoning-toxic-injuries-cbrn-triggers,Poisoning / Toxic Injuries / CBRN Triggers,Environmental / FHP,core-protocols,docs/environmental-fhp/poisoning-toxic-injuries-cbrn-triggers.pdf,59;60,2,"poisoning, toxic, CBRN, chemical, toxidrome, decontamination, unexplained casualties",True,v0.5,2026-06-12,draft - requires clinical verification
assessing-medically-unwell-patient,Assessing the Medically Unwell Patient,Medical Emergency,medical-emergency-inserts,docs/medical-emergencies/assessing-medically-unwell-patient.pdf,62,1,"ABCDE, unwell patient, deterioration, observations, triage",True,v0.5,2026-06-12,draft - requires clinical verification
chest-pain-insert,Chest Pain Insert,Medical Emergency,medical-emergency-inserts,docs/medical-emergencies/chest-pain-insert.pdf,65,1,"chest pain, ACS, MI, STEMI, ECG, cardiac",False,v0.5,2026-06-12,draft - requires clinical verification
massive-gi-bleed,Massive GI Bleed,Medical Emergency,medical-emergency-inserts,docs/medical-emergencies/massive-gi-bleed.pdf,66,1,"GI bleed, gastrointestinal bleed, haematemesis, melaena, shock, bleeding",True,v0.5,2026-06-12,draft - requires clinical verification
seizures,Seizures,Medical Emergency,medical-emergency-inserts,docs/medical-emergencies/seizures.pdf,67,1,"seizure, fits, convulsion, status epilepticus, benzodiazepine",True,v0.5,2026-06-12,draft - requires clinical verification
hypoglycaemia,Hypoglycaemia,Medical Emergency,medical-emergency-inserts,docs/medical-emergencies/hypoglycaemia.pdf,68,1,"hypoglycaemia, low glucose, diabetes, BM, collapse, confusion",True,v0.5,2026-06-12,draft - requires clinical verification
kidney-stones,Kidney Stones,Medical Emergency,medical-emergency-inserts,docs/medical-emergencies/kidney-stones.pdf,69,1,"kidney stones, renal colic, flank pain, haematuria",False,v0.5,2026-06-12,draft - requires clinical verification
fentanyl,Fentanyl,Important Drugs,important-drugs,docs/important-drugs/fentanyl.pdf,71,1,"fentanyl, opioid, lozenge, analgesia, pain",True,v0.5,2026-06-12,draft - requires clinical verification
ketamine,Ketamine,Important Drugs,important-drugs,docs/important-drugs/ketamine.pdf,72,1,"ketamine, analgesia, sedation, dissociation, pain",True,v0.5,2026-06-12,draft - requires clinical verification
penthrox,Penthrox,Important Drugs,important-drugs,docs/important-drugs/penthrox.pdf,73,1,"penthrox, methoxyflurane, analgesia, pain",False,v0.5,2026-06-12,draft - requires clinical verification
co-amoxiclav,Co-amoxiclav,Important Drugs,important-drugs,docs/important-drugs/co-amoxiclav.pdf,74,1,"co-amoxiclav, antibiotic, infection, wound, bite",False,v0.5,2026-06-12,draft - requires clinical verification
clindamycin,Clindamycin,Important Drugs,important-drugs,docs/important-drugs/clindamycin.pdf,75,1,"clindamycin, antibiotic, infection, allergy",False,v0.5,2026-06-12,draft - requires clinical verification
ceftriaxone,Ceftriaxone,Important Drugs,important-drugs,docs/important-drugs/ceftriaxone.pdf,76,1,"ceftriaxone, antibiotic, sepsis, infection",False,v0.5,2026-06-12,draft - requires clinical verification
ondansetron,Ondansetron,Important Drugs,important-drugs,docs/important-drugs/ondansetron.pdf,77,1,"ondansetron, antiemetic, nausea, vomiting",False,v0.5,2026-06-12,draft - requires clinical verification
tranexamic-acid,Tranexamic Acid,Important Drugs,important-drugs,docs/important-drugs/tranexamic-acid.pdf,78,1,"tranexamic acid, TXA, bleeding, haemorrhage, trauma",True,v0.5,2026-06-12,draft - requires clinical verification
naloxone,Naloxone,Important Drugs,important-drugs,docs/important-drugs/naloxone.pdf,79,1,"naloxone, opioid, overdose, respiratory depression",True,v0.5,2026-06-12,draft - requires clinical verification
drug-notes,Drug Notes,Important Drugs,important-drugs,docs/important-drugs/drug-notes.pdf,80,1,"drug notes, medications, cautions",False,v0.5,2026-06-12,draft - requires clinical verification
nine-line-medevac,9-Line MEDEVAC,Handover / Evac,handover-evacuation-triage,docs/handover-evacuation-triage/nine-line-medevac.pdf,82,1,"9-line, nine line, MEDEVAC, casualty evacuation, evacuation",True,v0.5,2026-06-12,draft - requires clinical verification
mist-at-report,MIST(AT) Report,Handover / Evac,handover-evacuation-triage,docs/handover-evacuation-triage/mist-at-report.pdf,83,1,"MIST, MISTAT, ATMIST, handover, mechanism, injuries, signs, treatment, age, time",True,v0.5,2026-06-12,draft - requires clinical verification
m-ethane-report,M/ETHANE Report,Handover / Evac,handover-evacuation-triage,docs/handover-evacuation-triage/m-ethane-report.pdf,84,1,"METHANE, ETHANE, incident report, major incident, handover",True,v0.5,2026-06-12,draft - requires clinical verification
ten-second-triage,Ten Second Triage,Triage,handover-evacuation-triage,docs/handover-evacuation-triage/ten-second-triage.pdf,85,1,"ten second triage, TST, triage, major incident, casualty sorting",True,v0.5,2026-06-12,draft - requires clinical verification
major-incident-triage-tool,Major Incident Triage Tool,Triage,handover-evacuation-triage,docs/handover-evacuation-triage/major-incident-triage-tool.pdf,86,1,"major incident triage tool, MITT, triage, major incident, casualty sorting",True,v0.5,2026-06-12,draft - requires clinical verification
